,radius,period,Snacks,apoapsis,ElectricCharge,retrograde,semi_major_axis,speed,argument_of_periapsis,roll,prograde,time_to_apoapsis,body,MonoPropellant,SolidFuel,anti_normal,velocity,eccentricity,normal,heading,anti_radial,vertical_speed,latitude,rotation,longitude,mean_altitude,periapsis_altitude,semi_minor_axis,periapsis,longitude_of_ascending_node,apoapsis_altitude,horizontal_speed,pitch,direction,inclination,radial,time_to_periapsis
12,,,,,,"(-0.881911335264303, -0.0038122141851743684, -0.47139989791613274)",,0.0,,-53.761474609375,"(0.881911335264303, 0.0038122141851743684, 0.47139989791613274)",,,,,"(4.715713666867544e-08, -0.9999673016845089, 0.008086752240575718)","(0.0, 0.0, 0.0)",,"(-4.715713666867544e-08, 0.9999673016845089, -0.008086752240575718)",306.25836181640625,"(-0.4714153123651518, 0.00713177623656832, 0.8818824984290002)",0.0,-0.09688639382796055,"(-0.500258093153206, -0.49956324447262546, -0.4978272257241643, 0.5023409328415449)",-74.55818427781708,866.4306540575344,,,,,,0.0,89.63095092773438,"(0.9999791432442197, 0.0038197806974690496, -0.005207912439710006)",,"(0.4714153123651518, -0.00713177623656832, -0.8818824984290002)",
13,600866.4306540743,560.1585121399091,,606288.0298577306,,,303909.6919892868,366.6985267515955,2.9450165495380807,,,33.629615840927045,<krpc.services.spacecenter.CelestialBody object at 0x00000286CA8FDE20>,,,,,0.9949611540493516,,,,,,,,,-598468.645879157,30470.340873387653,1531.3541208430229,1.3522868050692143,6288.029857730609,,,,0.008261731118968031,,313.7088719108816
14,,,50.0,,47.92218017578125,,,,,,,,,10.0,59.312530517578125,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,"(-0.9182654777323744, -0.003955904344925168, -0.39594553062984206)",,0.0,,-53.47113037109375,"(0.9182654777323744, 0.003955904344925168, 0.39594553062984206)",,,,,"(5.825892061394472e-08, -0.9999500932807532, 0.009990542918660264)","(0.0, 0.0, 0.0)",,"(-5.825892061394472e-08, 0.9999500932807532, -0.009990542918660264)",306.5487976074219,"(-0.395965291919548, 0.00917394759865013, 0.9182196503454502)",0.0,-0.09673768223899434,"(-0.5002421702667802, -0.49957931226934943, -0.49785618174961344, 0.5023121942155614)",-74.55843710421607,1227.8793276235228,,,,,,0.0,89.63522338867188,"(0.9999797048216554, 0.0037939549723311704, -0.0051181882011803)",,"(0.395965291919548, -0.00917394759865013, -0.9182196503454502)",
16,601227.8793276355,564.673314893176,,609557.2320811584,,,305540.487212703,435.2293277501604,2.9859597771796693,,,41.87407620175395,<krpc.services.spacecenter.CelestialBody object at 0x00000286CA8FDE20>,,,,,0.9950129609396521,,,,,,,,,-598476.2576557525,30476.354207226785,1523.742344247484,1.3138537123408456,9557.232081158436,,,,0.010132356166206528,,324.21073364834194
17,,,50.0,,47.922061920166016,,,,,,,,,10.0,43.491477966308594,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,"(-0.9424155603116948, -0.004039622971878204, -0.3344197857912148)",,0.0,,-53.528472900390625,"(0.9424155603116948, 0.004039622971878204, 0.3344197857912148)",,,,,"(7.043538950354811e-08, -0.9999270507343199, 0.012078626153662446)","(0.0, 0.0, 0.0)",,"(-7.043538950354811e-08, 0.9999270507343199, -0.012078626153662446)",306.49163818359375,"(-0.33444418320909153, 0.011383061679411383, 0.9423468120731373)",0.0,-0.09655670410965846,"(-0.5002446414299923, -0.4995767280215085, -0.4978544943791028, 0.5023139296759904)",-74.55875478739415,1670.0104712006869,,,,,,0.0,89.63522338867188,"(0.9999796671557875, 0.0037923759974991876, -0.0051267103774300625)",,"(0.33444418320909153, -0.011383061679411383, -0.9423468120731373)",
19,601670.0104712131,570.804770536499,,613981.0539282786,,,307748.2933683975,513.5302977962826,3.0171967242984383,,,51.22112094524175,<krpc.services.spacecenter.CelestialBody object at 0x00000286CA8FDE20>,,,,,0.9950754144176447,,,,,,,,,-598484.4671914836,30504.236280159796,1515.5328085164635,1.2853478362107336,13981.05392827862,,,,0.012195898405384329,,336.6235062134912
20,,,50.0,,47.922035217285156,,,,,,,,,10.0,27.670425415039062,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,"(-0.9586124244357632, -0.004086292756012626, -0.2846849520591186)",,0.0,,-53.63494873046875,"(0.9586124244357632, 0.004086292756012626, 0.2846849520591186)",,,,,"(8.369392582620316e-08, -0.9998970009004606, 0.014352267774022945)","(0.0, 0.0, 0.0)",,"(-8.369392582620316e-08, 0.9998970009004606, -0.014352267774022945)",306.3851013183594,"(-0.28471427733324145, 0.013758238380606117, 0.9585136885612371)",0.0,-0.09634097482606449,"(-0.5002494787268739, -0.499571940095397, -0.4978506760132293, 0.5023176514720202)",-74.55914496219498,2200.26976808114,,,,,,0.0,89.6341552734375,"(0.9999795870783815, 0.003790294527626204, -0.005143840388583099)",,"(0.28471427733324145, -0.013758238380606117, -0.9585136885612371)",
22,602200.2697680802,578.9404797225187,,619824.5463616616,,,310665.6250984167,600.9485534669536,3.0418571672844217,,,61.779232785290276,<krpc.services.spacecenter.CelestialBody object at 0x00000286CA8FDE20>,,,,,0.9951500786908934,,,,,,,,,-598493.2961648282,30559.64694064198,1506.7038351717183,1.26362894306118,19824.546361661633,,,,0.014450902800962557,,351.24947264654963
23,,,50.0,,47.92197036743164,,,,,,,,,10.0,11.849374771118164,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,"(-0.9670390479230649, -0.004118278973717422, -0.25459481450011523)",,0.0,,-54.04949951171875,"(0.9670390479230649, 0.004118278973717422, 0.25459481450011523)",,,,,"(9.431550499622299e-08, -0.9998691969924067, 0.016173710327286085)","(0.0, 0.0, 0.0)",,"(-9.431550499622299e-08, 0.9998691969924067, -0.016173710327286085)",305.9702453613281,"(-0.25462812058382883, 0.01564058542404365, 0.9669125566955542)",0.0,-0.09608897077779498,"(-0.5002691359200461, -0.49955231218011514, -0.4978313291966693, 0.5023368507832391)",-74.55961455681847,2823.4121036200086,,,,,,0.0,89.63043212890625,"(0.9999791866768619, 0.0037895015629817487, -0.005221675113007307)",,"(0.25462812058382883, -0.01564058542404365, -0.9669125566955542)",
25,602823.4121036216,586.6268037664244,,625318.7992605402,,,313409.2851665483,669.7251038751722,3.0572146813228223,,,70.32332364329699,<krpc.services.spacecenter.CelestialBody object at 0x00000286CA8FDE20>,,,,,0.9952146565416548,,,,,,,,,-598500.2289274436,30624.092578502077,1499.7710725564023,1.2506073420881498,25318.799260540167,,,,0.01626111057019354,,363.63672552650917
26,,,50.0,,47.92180633544922,,,,,,,,,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,
